demo_marker,model_code,serial_number,batch_code,manufactured_at
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0001,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0002,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0003,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0004,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0005,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0006,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0007,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0008,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0009,BATCH-DEMO-001,2026-07-01
SYNTHETIC,HS-DEMO-51V280,HS-DEMO-2026-0010,BATCH-DEMO-001,2026-07-01
