"module_code","canonical_field_code","label_zh","current_source","current_column_or_field","target_authority","data_type","granularity","default_audience","evidence_rule","sector_scope","migration_action"
"identity","dpp.id","DPP ID","products","dpp_id","products.dpp_id","string","model","PUBLIC","system","all","KEEP"
"identity","dpp.name.en","产品名称英文","products","name","products.name","string","model","PUBLIC","declared","all","KEEP"
"identity","dpp.name.zh","产品名称中文","products","name_zh","products.name_zh","string","model","PUBLIC","declared","all","KEEP"
"identity","dpp.description.en","产品说明英文","products","description","products.description","text","model","PUBLIC","declared","all","KEEP"
"identity","dpp.description.zh","产品说明中文","products","description_zh","products.description_zh","text","model","PUBLIC","declared","all","KEEP"
"identity","dpp.brand","品牌或制造商","products","brand","products.brand","string","model","PUBLIC","declared","all","KEEP"
"identity","dpp.model_identifier","型号或 SKU","products","sku","products.sku","string","model","PUBLIC","declared","all","KEEP"
"identity","dpp.sector_code","行业代码","products","sector_code","products.sector_code","enum","model","PUBLIC","system","all","KEEP"
"identity","dpp.category_code","类别代码","products","category_code","products.category_code","enum","model","PUBLIC","system","all","KEEP"
"identity","dpp.subcategory_code","细分类代码","products","subcategory_code","products.subcategory_code","enum","model","PUBLIC","system","all","KEEP"
"identity","dpp.profile_key","字段模板","products","dpp_profile_key","products.dpp_profile_key","string","model","INTERNAL","system","all","KEEP"
"identity","dpp.granularity","数据粒度","products","granularity_level","products.granularity_level","enum","model","PUBLIC","system","all","KEEP"
"identity","dpp.commodity_code","商品编码","products","commodity_code","products.commodity_code","string","model","AUTHORITY_ONLY","declared","all","KEEP"
"identity","dpp.image","产品主图","products","main_image","products.main_image","uri","model","PUBLIC","uploaded","all","KEEP"
"identity","identifier.upi","唯一产品标识","products + product_digital_identity","unique_product_identifier + product_uuid","product_digital_identity.product_uuid","string","model/batch/item","PUBLIC","system","all","MOVE"
"identity","identifier.gtin","GTIN","product_digital_identity","gtin","product_digital_identity.gtin","string","model","PUBLIC","system_validated","all","KEEP"
